613753909 reads of which  0.172268501185% dirties
617595233 reads of which  0.171785937344% dirties
621435820 reads of which  0.171295750219% dirties
625276139 reads of which  0.170801675194% dirties
629117487 reads of which  0.170309700833% dirties
632958323 reads of which  0.169837850446% dirties
636799933 reads of which  0.169381861414% dirties
640641381 reads of which  0.16891605071% dirties
644483175 reads of which  0.16844495281% dirties
648325878 reads of which  0.167971786559% dirties
652167931 reads of which  0.167513946649% dirties
656008954 reads of which  0.167064733388% dirties
659849595 reads of which  0.166612362625% dirties
663689346 reads of which  0.166168090033% dirties
667529402 reads of which  0.165725034236% dirties
671369027 reads of which  0.165284252829% dirties
675208305 reads of which  0.164836528484% dirties
679046969 reads of which  0.164391193976% dirties
682886262 reads of which  0.163964155132% dirties
686725346 reads of which  0.163542757893% dirties
690563880 reads of which  0.163135416234% dirties
694403532 reads of which  0.162738799261% dirties
698245526 reads of which  0.162328564637% dirties
702086001 reads of which  0.161929242056% dirties
705924728 reads of which  0.161536647573% dirties
709763650 reads of which  0.161143745527% dirties
713603329 reads of which  0.160761891569% dirties
717443965 reads of which  0.160377102064% dirties
721284456 reads of which  0.159984731461% dirties
725124352 reads of which  0.159595401369% dirties
728963846 reads of which  0.159208790171% dirties
732803149 reads of which  0.158823157568% dirties
736643822 reads of which  0.15844685113% dirties
740484566 reads of which  0.158074337231% dirties
744325063 reads of which  0.157702479515% dirties
748165311 reads of which  0.157339383782% dirties
752005227 reads of which  0.156987436738% dirties
755845193 reads of which  0.156641104682% dirties
759685253 reads of which  0.156298599362% dirties
763525091 reads of which  0.155941889014% dirties
767364310 reads of which  0.155591907838% dirties
771203276 reads of which  0.155242237327% dirties
775042164 reads of which  0.154891522779% dirties
778880910 reads of which  0.154541641032% dirties
Closing  /home/moritz/glob/data/TARA_work/samples/all_shuffled_00002.fastq
782719365 reads of which  0.154189780395% dirties
786557464 reads of which  0.153842672072% dirties
790395363 reads of which  0.15350199366% dirties
794233501 reads of which  0.153169949199% dirties
798071884 reads of which  0.152815230614% dirties
801910207 reads of which  0.15246741335% dirties
805748394 reads of which  0.152121672116% dirties
809586436 reads of which  0.15177888924% dirties
813424549 reads of which  0.151440615053% dirties
817263195 reads of which  0.151108673137% dirties
821102360 reads of which  0.150784720677% dirties
824941932 reads of which  0.150457236062% dirties
828782080 reads of which  0.150142101287% dirties
832622230 reads of which  0.149833797976% dirties
836461960 reads of which  0.14951156416% dirties
840300752 reads of which  0.149194331555% dirties
844139217 reads of which  0.148879600034% dirties
847977100 reads of which  0.148569365847% dirties
851814623 reads of which  0.148264396489% dirties
855652878 reads of which  0.147962321235% dirties
859490515 reads of which  0.147664746481% dirties
863328406 reads of which  0.147390753178% dirties
867167435 reads of which  0.147110223298% dirties
871006245 reads of which  0.146825675171% dirties
874845025 reads of which  0.146544505983% dirties
878684011 reads of which  0.146271096766% dirties
882522620 reads of which  0.145992926504% dirties
886360652 reads of which  0.145719578942% dirties
890198186 reads of which  0.145461532091% dirties
894037677 reads of which  0.145207972035% dirties
897876911 reads of which  0.14492951139% dirties
901715337 reads of which  0.144652184174% dirties
905553556 reads of which  0.144379687025% dirties
909392710 reads of which  0.144112602354% dirties
913232053 reads of which  0.143842758879% dirties
917070457 reads of which  0.143579461093% dirties
920908918 reads of which  0.14331549453% dirties
924747981 reads of which  0.143056542667% dirties
928586821 reads of which  0.142798758286% dirties
932426012 reads of which  0.142544677314% dirties
936264939 reads of which  0.142290360827% dirties
940103048 reads of which  0.142038670425% dirties
943940439 reads of which  0.141795738873% dirties
947778014 reads of which  0.14155287316% dirties
951616193 reads of which  0.141308159728% dirties
955454526 reads of which  0.141065864813% dirties
959292184 reads of which  0.140815788196% dirties
963129632 reads of which  0.140568535638% dirties
966966860 reads of which  0.140322296051% dirties
970804618 reads of which  0.140083355063% dirties
974642777 reads of which  0.139846798454% dirties
978481165 reads of which  0.139608840606% dirties
982319420 reads of which  0.139371538639% dirties
986157160 reads of which  0.139140711608% dirties
989995284 reads of which  0.138907808171% dirties
993833486 reads of which  0.138675807307% dirties
997671338 reads of which  0.138446319684% dirties
1001509431 reads of which  0.13822879617% dirties
1005346150 reads of which  0.138002490983% dirties
1009183610 reads of which  0.137777425854% dirties
1013021613 reads of which  0.137551646689% dirties
1016859942 reads of which  0.137334409816% dirties
1020699412 reads of which  0.137126045489% dirties
1024539301 reads of which  0.13691690486% dirties
1028378583 reads of which  0.136708554927% dirties
1032216613 reads of which  0.136489409515% dirties
1036053831 reads of which  0.136276626538% dirties
1039891648 reads of which  0.136067092444% dirties
1043729111 reads of which  0.135858480429% dirties
1047565781 reads of which  0.135650755855% dirties
1051402838 reads of which  0.135446032532% dirties
1055239246 reads of which  0.135239543583% dirties
1059076034 reads of which  0.135034948775% dirties
1062912945 reads of which  0.134832072254% dirties
1066750002 reads of which  0.134632914676% dirties
1070587466 reads of which  0.134436530009% dirties
1074425047 reads of which  0.134242716514% dirties
1078262324 reads of which  0.134048653823% dirties
1082100027 reads of which  0.133856067264% dirties
1085937661 reads of which  0.133666734485% dirties
1089775235 reads of which  0.133479452761% dirties
1093612715 reads of which  0.133295231484% dirties
1097450272 reads of which  0.133111028105% dirties
1101289652 reads of which  0.132919028826% dirties
1105128261 reads of which  0.132732770644% dirties
1108966753 reads of which  0.132547046701% dirties
1112804900 reads of which  0.132359113444% dirties
1116642982 reads of which  0.132171531438% dirties
1120480719 reads of which  0.131987779435% dirties
1124318065 reads of which  0.131802839973% dirties
1128154961 reads of which  0.131619047146% dirties
1131991900 reads of which  0.131438839801% dirties
1135829159 reads of which  0.131256439244% dirties
1139665976 reads of which  0.131075383617% dirties
1143503007 reads of which  0.130895096107% dirties
1147339563 reads of which  0.130712498581% dirties
1151175999 reads of which  0.130531403652% dirties
1155012732 reads of which  0.130358543095% dirties
1158849194 reads of which  0.130178788389% dirties
1162686144 reads of which  0.130000038944% dirties
1166523096 reads of which  0.129822467741% dirties
Closing  /home/moritz/glob/data/TARA_work/samples/all_shuffled_00003.fastq
1170360307 reads of which  0.129649778015% dirties
1174197123 reads of which  0.129475171606% dirties
1178033631 reads of which  0.129306393291% dirties
1181869983 reads of which  0.129131039958% dirties
1185706357 reads of which  0.128956658702% dirties
1189543038 reads of which  0.128787075462% dirties
1193379939 reads of which  0.128618766735% dirties
1197217315 reads of which  0.128450268028% dirties
1201054282 reads of which  0.128282082924% dirties
1204891303 reads of which  0.128116151736% dirties
1208727877 reads of which  0.127958328705% dirties
1212563972 reads of which  0.127794960578% dirties
1216399832 reads of which  0.127629941994% dirties
1220236062 reads of which  0.127466984335% dirties
1224072778 reads of which  0.127308173828% dirties
1227909555 reads of which  0.127145510322% dirties
1231745697 reads of which  0.126981251391% dirties
1235582241 reads of which  0.126819119602% dirties
1239418198 reads of which  0.12665814029% dirties
1243254526 reads of which  0.126503633577% dirties
1247091493 reads of which  0.12634507563% dirties
1250927928 reads of which  0.1261935188% dirties
1254763923 reads of which  0.126036859286% dirties
1258599312 reads of which  0.125878317658% dirties
1262435366 reads of which  0.125721957159% dirties
1266272311 reads of which  0.125565962091% dirties
1270108586 reads of which  0.1254130574% dirties
1273943988 reads of which  0.125261318004% dirties
1277779298 reads of which  0.125110090021% dirties
1281615361 reads of which  0.124957858554% dirties
1285452188 reads of which  0.124806291901% dirties
1289289175 reads of which  0.124655595592% dirties
1293125692 reads of which  0.12450411433% dirties
1296961517 reads of which  0.124351412811% dirties
1300797324 reads of which  0.124199208454% dirties
1304633288 reads of which  0.124049976717% dirties
1308469224 reads of which  0.123901165596% dirties
1312304549 reads of which  0.123751692489% dirties
1316140174 reads of which  0.123605394177% dirties
1319976230 reads of which  0.123460073974% dirties
1323812807 reads of which  0.123316024091% dirties
1327649421 reads of which  0.123172145759% dirties
1331485956 reads of which  0.123027025003% dirties
1335322165 reads of which  0.122889020568% dirties
1339158459 reads of which  0.122754791186% dirties
1342994186 reads of which  0.122616050551% dirties
1346829953 reads of which  0.122477123138% dirties
1350665822 reads of which  0.122344612789% dirties
1354502534 reads of which  0.122211637738% dirties
1358338347 reads of which  0.122074909662% dirties
1362174182 reads of which  0.121937432962% dirties
1366010110 reads of which  0.121799494588% dirties
1369846407 reads of which  0.121663587354% dirties
1373682869 reads of which  0.121531177077% dirties
1377519504 reads of which  0.121402086514% dirties
1381355708 reads of which  0.12127865258% dirties
1385191300 reads of which  0.121153843516% dirties
1389026510 reads of which  0.121027631071% dirties
1392861884 reads of which  0.120902806613% dirties
1396697348 reads of which  0.120780048191% dirties
1400533964 reads of which  0.120651880885% dirties
1404369450 reads of which  0.120520956932% dirties
1408204917 reads of which  0.120390637721% dirties
1412040156 reads of which  0.12026041418% dirties
1415876068 reads of which  0.120134571693% dirties
1419711524 reads of which  0.120006690176% dirties
1423547411 reads of which  0.119885555396% dirties
1427383789 reads of which  0.119762434124% dirties
1431220396 reads of which  0.119634493387% dirties
1435057168 reads of which  0.119508850117% dirties
1438893343 reads of which  0.119386108662% dirties
1442730181 reads of which  0.119263048119% dirties
1446566618 reads of which  0.119138563586% dirties
1450402265 reads of which  0.119016452308% dirties
1454237918 reads of which  0.118899075495% dirties
1458074554 reads of which  0.118780998218% dirties
1461911497 reads of which  0.118660216679% dirties
1465747694 reads of which  0.118539176088% dirties
1469584273 reads of which  0.118420608602% dirties
1473420722 reads of which  0.118301930601% dirties
1477256855 reads of which  0.118184049313% dirties
1481093314 reads of which  0.118066929576% dirties
1484928996 reads of which  0.117948842316% dirties
1488764263 reads of which  0.117829876334% dirties
1492599636 reads of which  0.117712414476% dirties
1496435347 reads of which  0.11759521743% dirties
1500271192 reads of which  0.117477867961% dirties
1504106693 reads of which  0.117364215465% dirties
1507942079 reads of which  0.11725043585% dirties
1511778134 reads of which  0.117137829961% dirties
1515614137 reads of which  0.117025747959% dirties
1519451076 reads of which  0.116915503109% dirties
1523287747 reads of which  0.116805260431% dirties
1527124012 reads of which  0.11669528185% dirties
1530960366 reads of which  0.116587077604% dirties
1534797300 reads of which  0.116480159953% dirties
1538635143 reads of which  0.116373921923% dirties
1542472947 reads of which  0.116271436947% dirties
1546311707 reads of which  0.116175231803% dirties
1550150610 reads of which  0.116070016577% dirties
1553988696 reads of which  0.115963526288% dirties
Closing  /home/moritz/glob/data/TARA_work/samples/all_shuffled_00004.fastq
1557826211 reads of which  0.115860130434% dirties
1561663236 reads of which  0.115757237433% dirties
1565499544 reads of which  0.115654125032% dirties
1569335867 reads of which  0.115551850826% dirties
1573172770 reads of which  0.115449480479% dirties
1577009448 reads of which  0.115346915157% dirties
1580846450 reads of which  0.11524543829% dirties
1584683541 reads of which  0.115144576364% dirties
1588519570 reads of which  0.115046208716% dirties
1592356808 reads of which  0.114948603278% dirties
1596193287 reads of which  0.114852828597% dirties
1600029823 reads of which  0.114754189804% dirties
1603866026 reads of which  0.114654665052% dirties
1607701814 reads of which  0.11455690626% dirties
1611537699 reads of which  0.114462663898% dirties
1615374934 reads of which  0.114375733529% dirties
1619211776 reads of which  0.114282163546% dirties
1623047190 reads of which  0.114185100188% dirties
1626883194 reads of which  0.114090507963% dirties
1630718967 reads of which  0.113996543097% dirties
1634555868 reads of which  0.113904358147% dirties
1638392945 reads of which  0.113819307858% dirties
1642229844 reads of which  0.113732053209% dirties
1646066217 reads of which  0.113644801812% dirties
1649902222 reads of which  0.113553898832% dirties
1653738169 reads of which  0.113459506177% dirties
1657574026 reads of which  0.113364710144% dirties
1661410200 reads of which  0.113271579168% dirties
1665245674 reads of which  0.113178812558% dirties
1669080812 reads of which  0.113086270385% dirties
1672916498 reads of which  0.113000250895% dirties
1676753041 reads of which  0.112915429029% dirties
1680588866 reads of which  0.112829409879% dirties
1684424551 reads of which  0.112743229661% dirties
1688260255 reads of which  0.112664748481% dirties
1692095732 reads of which  0.112587095043% dirties
1695931082 reads of which  0.112507984567% dirties
1699766382 reads of which  0.112431157613% dirties
1703601435 reads of which  0.112351493764% dirties
1707436691 reads of which  0.112270544501% dirties
1711271754 reads of which  0.112191031349% dirties
1715107775 reads of which  0.112114360277% dirties
1718944289 reads of which  0.112027261868% dirties
1722780664 reads of which  0.111941728875% dirties
1726616102 reads of which  0.111856058667% dirties
1730450842 reads of which  0.111768843301% dirties
1734285066 reads of which  0.111681689935% dirties
1738119092 reads of which  0.11159354091% dirties
1741952647 reads of which  0.111504998333% dirties
1745785605 reads of which  0.111418643528% dirties
1749618359 reads of which  0.111330939686% dirties
1753451660 reads of which  0.111244992634% dirties
1757285136 reads of which  0.111159607509% dirties
1761118640 reads of which  0.111074316379% dirties
1764952139 reads of which  0.110987942206% dirties
1768785276 reads of which  0.110903707568% dirties
1772619267 reads of which  0.110824879125% dirties
1776453181 reads of which  0.110742996834% dirties
1780287625 reads of which  0.110659134644% dirties
1784122393 reads of which  0.11057769118% dirties
1787956528 reads of which  0.110494807847% dirties
1791790147 reads of which  0.11041232107% dirties
1795623688 reads of which  0.11033023808% dirties
1799457883 reads of which  0.110248193567% dirties
1803291948 reads of which  0.11016699499% dirties
1807125852 reads of which  0.11008658682% dirties
