0	AAA023D18_00001
1	AB141P03_00557
2	AAA028A23_00784
3	AAA027L06_00162
4	AAA027J17_00840
5	AAA278I18_00584
6	bin_7_01349
7	AAA044D11_00152
8	AAA278O22_01136
9	AAA027M14_00110
10	AAA044N04_00982
11	AAA041L13_00845
12	AAA024D14_00466
13	AAA023D18_00002
14	AAA278I18_00585
15	AAA027L06_00161
16	AAA028A23_00783
17	AB141P03_00558
18	AAA027J17_00839
19	bin_7_01348
20	AAA027M14_00109
21	AAA044D11_00151
22	AAA024D14_00467
23	AAA044N04_00981
24	AAA041L13_00846
25	AAA278O22_01137
26	AAA023D18_00003
27	AB141P03_00559
28	AAA028A23_00782
29	AAA278I18_00586
30	AAA027L06_00160
31	AAA027J17_00838
32	AAA024D14_00468
33	AAA041L13_00847
34	AAA044N04_00980
35	AAA044D11_00150
36	AAA027M14_00108
37	bin_7_01347
38	AAA278O22_01138
39	AAA023D18_00004
40	AAA028A23_00781
41	AAA027L06_00159
42	AB141P03_00560
43	AAA278I18_00572
44	AAA278O22_01139
45	AAA027M14_00107
46	bin_7_01346
47	AAA044D11_00149
48	AAA023D18_00005
49	AAA278I18_00571
50	AAA027L06_00158
51	AB141P03_00561
52	AAA044D11_00148
53	AAA278O22_01140
54	AAA027M14_00106
55	AAA023D18_00006
56	AAA278I18_00570
57	AB141P03_00562
58	AAA027L06_00157
59	AAA044D11_00147
60	AAA041L13_00848
61	AAA278O22_01141
62	AAA024D14_00469
63	AAA044N04_00979
64	AAA027M14_00105
65	AAA023D18_00007
66	AAA278I18_00569
67	AB141P03_00563
68	AAA027L06_00156
69	AAA044D11_00146
70	AAA041L13_00849
71	AAA044N04_00978
72	AAA024D14_00470
73	AAA278O22_01142
74	AAA027M14_00104
75	AAA023D18_00008
76	AAA278I18_00568
77	AAA027L06_00155
78	AB141P03_00564
79	AAA044D11_00145
80	AAA027M14_00103
81	AAA044N04_00977
82	AAA024D14_00471
83	AAA041L13_00850
84	AAA278O22_01143
85	AAA023D18_00009
86	AAA278I18_00567
87	AAA027L06_00154
88	AB141P03_00565
89	AAA044D11_00144
90	AAA024D14_00472
91	AAA041L13_00851
92	AAA044N04_00976
93	AAA027M14_00102
94	AAA278O22_01144
95	AAA023D18_00010
96	AB141P03_00566
97	AAA027L06_00153
98	AAA278I18_00566
99	AAA044D11_00143
100	AAA027M14_00101
101	AAA278O22_01145
102	AAA044N04_00975
103	AAA041L13_00852
104	AAA024D14_00473
105	AAA023D18_00011
106	AAA278I18_00565
107	AB141P03_00567
108	AAA027L06_00152
109	AAA044D11_00142
110	AAA044N04_00974
111	AAA041L13_00853
112	AAA024D14_00474
113	AAA278O22_01146
114	AAA027M14_00100
115	AAA023D18_00012
116	AAA278I18_00564
117	AB141P03_00568
118	AAA027L06_00151
119	AAA044D11_00141
120	AAA044N04_00973
121	AAA041L13_00854
122	AAA027M14_00099
123	bin_7_00417
124	AAA278O22_01147
125	AAA023D18_00013
126	AAA278I18_00563
127	AAA027L06_00150
128	bin_7_00416
129	AAA044D11_00140
130	AAA278O22_01148
131	AAA027M14_00098
132	AAA044N04_00972
133	AAA023D18_00014
134	AAA278I18_00562
135	AAA028A23_00639
136	AAA027L06_00149
137	AAA044D11_00139
138	AAA027M14_00775
139	AAA044N04_00971
140	AAA027M14_00097
141	bin_7_00415
142	AAA023D18_00015
143	AAA278I18_00561
144	AAA028A23_00640
145	AAA027L06_00148
146	AAA027M14_00096
147	AAA278O22_00327
148	bin_7_00414
149	AAA044D11_00138
150	AAA044N04_00970
151	AAA023D18_00016
152	AAA027J17_00898
153	AAA027L06_00147
154	AAA278I18_00560
155	AAA028A23_00641
156	AAA044N04_00969
157	AAA041L13_00864
158	AAA278O22_00326
159	AAA044D11_00137
160	AAA027M14_00095
161	bin_7_01838
162	bin_7_01855
163	AAA023D18_00017
164	AAA027J17_00897
165	AAA028A23_00642
166	AAA027L06_00146
167	AAA278I18_00559
168	AAA044D11_00136
169	AAA044N04_00967
170	AAA041L13_00862
171	AAA027M14_00093
172	AAA278O22_00324
173	AAA023D18_00018
174	AAA027L06_00145
175	AAA028A23_00643
176	AAA027J17_00896
177	AAA278I18_00558
178	AAA044D11_00135
179	AAA023D18_00019
180	AAA027J17_00895
181	AAA028A23_00644
182	AAA027L06_00144
183	AAA278I18_00557
184	AAA278O22_00316
185	AAA027M14_00080
186	AAA044D11_00134
187	AAA044N04_00957
188	bin_7_00149
189	bin_7_01994
190	bin_7_01468
191	bin_7_00920
192	AAA023D18_00020
193	AAA027J17_00894
194	AAA027L06_00143
195	AAA278I18_00556
196	AAA028A23_00645
197	AAA044D11_00133
198	AAA044N04_00962
199	AAA041L13_00857
200	AAA278O22_00320
201	AAA027M14_00089
202	AAA023D18_00021
203	AAA278I18_00545
204	AAA027J17_00893
205	AAA028A23_00646
206	AAA027L06_00142
207	AAA044D11_00132
208	AAA044N04_00960
209	AAA278O22_00318
210	AAA027M14_00088
211	AAA023D18_00022
212	AAA278I18_00543
213	AAA027J17_00891
214	AAA027L06_00141
215	AAA028A23_00647
216	AAA044D11_00131
217	AAA044N04_00598
218	AAA041L13_01045
219	AAA023J06_00412
220	AAA027M14_00017
221	AAA278O22_00232
222	bin_7_01825
223	AAA023D18_00023
224	AAA027J17_00890
225	AAA027L06_00140
226	AAA028A23_00648
227	AAA278I18_00542
228	AAA044D11_00124
229	bin_7_00052
230	bin_7_01379
231	AAA041L13_00401
232	AAA044N04_00401
233	AAA024D14_00665
234	AAA278O22_00926
235	AAA028I14_00075
236	AB141P03_00493
237	AAA023D18_00024
238	AAA278I18_00541
239	AB141P03_00492
240	AAA028A23_00649
241	AAA027L06_00139
242	AAA027J17_00889
243	AAA044D11_00668
244	AAA044N04_00950
245	AAA041L13_01000
246	AAA027M14_00394
247	AAA278O22_00573
248	AAA027M14_00222
249	AAA023D18_00025
250	AAA028I14_00339
251	AAA041L13_00541
252	AAA023D18_00026
253	AAA028I14_00338
254	AB141P03_00589
255	AAA024D14_00285
256	AAA023D18_00027
257	AAA028I14_00337
258	bin_7_00483
259	AAA044N04_00692
260	AAA041L13_00542
261	AAA024D14_00278
262	AAA023D18_00028
263	AAA027J17_00888
264	AB141P03_00491
265	AAA027L06_00138
266	AAA028A23_00650
267	AAA024D14_00275
268	AAA041L13_00556
269	AAA023J06_00033
270	AAA028I14_00333
271	AAA027M14_00536
272	AAA278O22_00494
273	AAA044D11_00671
274	AAA044N04_00686
275	AAA278I18_00532
276	AAA023D18_00029
277	AAA278I18_00530
278	AAA027J17_00887
279	AAA027L06_00137
280	AAA028A23_00651
281	AB141P03_00490
282	AAA044D11_00673
283	AAA278O22_00492
284	AAA027M14_00538
285	AAA044N04_00685
286	AAA041L13_00557
287	AAA028I14_00330
288	AAA024D14_00274
289	AAA023J06_00034
290	AAA023D18_00030
291	AAA278I18_00529
292	AB141P03_00489
293	AAA028A23_00652
294	AAA027L06_00136
295	AAA044D11_00674
296	AAA028I14_00329
297	AAA044N04_00684
298	AAA024D14_00273
299	AAA027M14_00539
300	AAA023J06_00035
301	AAA041L13_00558
302	AAA278O22_00491
303	AAA023D18_00031
304	AB141P03_00488
305	AAA027L06_00135
306	AAA028A23_00653
307	AAA278I18_00527
308	AAA044D11_00675
309	AAA278O22_00489
310	AAA044N04_00683
311	AAA023J06_00036
312	AAA041L13_00559
313	AAA027M14_00541
314	AAA028I14_00324
315	AAA024D14_00272
316	AAA023D18_00032
317	AAA028A23_00654
318	AAA027L06_00134
319	AB141P03_00487
320	AAA044D11_00676
321	AAA028I14_00323
322	AAA044N04_00682
323	AAA023J06_00037
324	AAA027M14_00542
325	AAA278O22_00488
326	AAA023D18_00033
327	AAA027M14_00724
328	AAA278O22_00513
